,name,description,units,valid values,var_type,min,max
283,aua5420,Maximum credit amount on open auto loan or lease trades reported in the last 6 months ,$,0-999999990,numeric,0,999999990
284,aua5421,Credit amount on the most recently opened open auto loan or lease trade with credit amount > $0 ,$,0-999999990,numeric,0,999999990
285,aua5520,Average credit amount on open auto loan or lease trades reported in the last 6 months with credit amount > $0,$,0-999999990,numeric,0,999999990
286,aua6160,Worst present status on an auto loan or lease trade reported in the last 6 months including indeterminates,Rank,0-400,numeric,0,400
287,aua6280,Worst ever status on an auto loan or lease trade in the last 24 months including indeterminates,Rank,0-400,numeric,0,400
288,aua8122,Number of months since the most recently opened open auto loan or lease trade,Months,0-9990,numeric,0,9990
289,aua8151,"Number of months since the most recent 30-180 days delinquency on auto loan or lease trades, excluding unsatisfied derogatory including indeterminates",Months,0-9990,numeric,0,9990
290,aua8220,Number of months since the oldest auto loan or lease trade was opened including indeterminates,Months,0-9990,numeric,0,9990
291,mfx5029,Total balance on open first mortgage trades reported in the last 6 months with joint accounts weighted excluding authorized user trades ,$,0-999999990,numeric,0,999999990
292,bcc0300,Total number of revolving bankcard trades,Trades,0-90,numeric,0,90
293,bcc0316,Total number of revolving bankcard trades reported in the last 6 months ,Trades,0-90,numeric,0,90
294,bcc0400,Total number of open revolving bankcard trades,Trades,0-90,numeric,0,90
295,bcc0438,Total number of open revolving bankcard trades opened in the last 24 months ,Trades,0-90,numeric,0,90
296,bcc0446,Total number of open revolving bankcard trades opened at least 6 months reported in the last 6 months ,Trades,0-90,numeric,0,90
297,bcc0700,Total number of closed revolving bankcard trades,Trades,0-90,numeric,0,90
298,bcc1300,Total number of revolving bankcard trades never delinquent or derogatory,Trades,0-90,numeric,0,90
299,bcc1360,Total number of revolving bankcard trades never delinquent or derogatory occurred in the last 6 months,Trades,0-90,numeric,0,90
300,bcc1370,Total number of revolving bankcard trades never delinquent or derogatory occurred in the last 12 months,Trades,0-90,numeric,0,90
301,bcc1380,Total number of revolving bankcard trades never delinquent or derogatory occurred in the last 24 months,Trades,0-90,numeric,0,90
302,bcc2000,Total number of open revolving bankcard trades presently satisfactory reported in the last 6 months ,Trades,0-90,numeric,0,90
303,bcc2306,Total number of revolving bankcard trades 30 days delinquent in the last 6 months excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
304,bcc2307,Total number of revolving bankcard trades 30 days delinquent in the last 12 months excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
305,bcc2308,Total number of revolving bankcard trades 30 days delinquent in the last 24 months excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
306,bcc2326,Total number of revolving bankcard trades ever 30 or more days delinquent or derogatory occurred in the last 6 months,Trades,0-90,numeric,0,90
307,bcc2328,Total number of revolving bankcard trades ever 30 or more days delinquent or derogatory occurred in the last 24 months,Trades,0-90,numeric,0,90
308,bcc2336,Total number of revolving bankcard trades 60 days delinquent in the last 6 months excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
309,bcc2350,Total number of revolving bankcard trades ever 60 or more days delinquent or derogatory ,Trades,0-90,numeric,0,90
310,bcc2356,Total number of revolving bankcard trades ever 60 or more days delinquent or derogatory occurred in the last 6 months,Trades,0-90,numeric,0,90
311,bcc2357,Total number of revolving bankcard trades ever 60 or more days delinquent or derogatory occurred in the last 12 months,Trades,0-90,numeric,0,90
312,bcc2358,Total number of revolving bankcard trades ever 60 or more days delinquent or derogatory occurred in the last 24 months,Trades,0-90,numeric,0,90
313,bcc2366,Total number of revolving bankcard trades 90 days delinquent in the last 6 months excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
314,bcc2367,Total number of revolving bankcard trades 90 days delinquent in the last 12 months excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
315,bcc2386,Total number of revolving bankcard trades ever 90 or more days delinquent or derogatory occurred in the last 6 months,Trades,0-90,numeric,0,90
316,bcc2387,Total number of revolving bankcard trades ever 90 or more days delinquent or derogatory occurred in the last 12 months,Trades,0-90,numeric,0,90
317,bcc2388,Total number of revolving bankcard trades ever 90 or more days delinquent or derogatory occurred in the last 24 months,Trades,0-90,numeric,0,90
318,bcc2607,"Total number of revolving bankcard trades presently satisfactory or 30 days delinquent, and ever 30 or 60 days delinquent opened in the last 12 months",Trades,0-90,numeric,0,90
319,bcc2930,Total number of revolving bankcard trades with maximum delinquency of 60 days ever,Trades,0-90,numeric,0,90
320,bcc3110,Total number of revolving bankcard trades with a balance > $0 including indeterminates,Trades,0-90,numeric,0,90
321,bcc3341,Total number of revolving bankcard trades with a balance activity in the last 3 months excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
322,bcc3342,Total number of revolving bankcard trades with a balance activity 4-6 months ago excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
323,bcc3343,Total number of revolving bankcard trades with a balance activity 7-9 months ago excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
324,bcc3344,Total number of revolving bankcard trades with a balance activity 10-12 months ago excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
325,bcc3345,Total number of revolving bankcard trades with a balance activity 13-18 months ago excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
326,bcc3346,Total number of revolving bankcard trades with a balance activity 19-24 months ago excluding unsatisfied derogatory,Trades,0-90,numeric,0,90
327,bcc3410,Total number of open revolving bankcard trades with a balance > $0,Trades,0-90,numeric,0,90
328,bcc3421,Total number of open revolving bankcard trades with a balance to credit amount ratio >= 50 reported in the last 6 months ,Trades,0-90,numeric,0,90
329,bcc3423,Total number of open revolving bankcard trades with a balance to credit amount ratio >= 100 reported in the last 6 months ,Trades,0-90,numeric,0,90
330,bcc3456,Total number of open revolving bankcard trades with credit amount >= $5000 reported in the last 6 months,Trades,0-90,numeric,0,90
331,bcc3476,Total number of open revolving bankcard trades with no balance activity in the last 6 months,Trades,0-90,numeric,0,90
332,bcc3510,Total number of revolving bankcard trades with a balance > $0 reported in the last 6 months excluding derogatory trades,Trades,0-90,numeric,0,90
333,bcc3512,Total number of revolving bankcard trades with a balance > $0 opened in the last 12 months reported in the last 6 months excluding derogatory trades,Trades,0-90,numeric,0,90
334,bcc3515,Total number of revolving bankcard trades with a balance >= $1000 reported in the last 6 months excluding derogatory trades,Trades,0-90,numeric,0,90
335,bcc4070,Total number of occurrences of 30 days delinquency in the last 12 months on revolving bankcard trades excluding unsatisfied derogatory,Occurrences,0-990,numeric,0,990
336,bcc4080,Total number of occurrences of 30 days delinquency in the last 24 months on revolving bankcard trades excluding unsatisfied derogatory,Occurrences,0-990,numeric,0,990
337,bcc4380,Total number of occurrences of 60 days delinquency in the last 24 months on revolving bankcard trades excluding unsatisfied derogatory,Occurrences,0-990,numeric,0,990
338,bcc5020,Total balance on open revolving bankcard trades reported in the last 6 months,$,0-999999990,numeric,0,999999990
339,bcc5030,"Total balance on open, or closed with a balance > $0 revolving bankcard trades, reported in the last 6 months excluding derogatory trades",$,0-999999990,numeric,0,999999990
340,bcc5038,"Total balance on open, or closed with a balance > $0 revolving bankcard trades with actual payment > $0, excluding derogatory trades, reported in the last 6 months",$,0-999999990,numeric,0,999999990
341,bcc5120,Maximum balance on open revolving bankcard trades reported in the last 6 months,$,0-999999990,numeric,0,999999990
342,bcc5122,Balance on the oldest open revolving bankcard trade ,$,0-999999990,numeric,0,999999990
343,bcc5227,Actual payment on an open revolving bankcard trade with the highest balance and actual payment > $0,$,0-999999990,numeric,0,999999990
344,bcc5239,"Total amount difference between balance and actual payment on open, or closed with a balance > $0 revolving bankcard trades, with a balance >= actual payment and actual payment > $0, excluding derogatory trades, reported in the last 6 months ",$,0-999999990,numeric,0,999999990
345,bcc5420,Maximum credit amount on open revolving bankcard trades reported in the last 6 months ,$,0-999999990,numeric,0,999999990
346,bcc5422,Credit amount on the oldest open revolving bankcard trade with credit amount > $0,$,0-999999990,numeric,0,999999990
347,bcc5423,Maximum credit amount on open revolving bankcard trades,$,0-999999990,numeric,0,999999990
348,bcc5520,Average credit amount on open revolving bankcard trades reported in the last 6 months with credit amount > $0,$,0-999999990,numeric,0,999999990
349,bcc5627,Total available credit limit on open revolving bankcard trades reported in the last 6 months ,$,0-999999990,numeric,0,999999990
350,bcc5820,Total monthly payment on open revolving bankcard trades reported in the last 6 months ,$,0-999999990,numeric,0,999999990
351,bcc5838,"Total scheduled payment on open, or closed with a balance > $0 revolving bankcard trades with actual payment > $0, excluding derogatory trades, reported in the last 6 months",$,0-999999990,numeric,0,999999990
352,bcc6160,Worst present status on a revolving bankcard trade reported in the last 6 months including indeterminates,Rank,0-400,numeric,0,400
353,bcc6280,Worst ever status on a revolving bankcard trade in the last 24 months including indeterminates,Rank,0-400,numeric,0,400
354,bcc7110,Overall balance to credit amount ratio on open revolving bankcard trades reported in the last 6 months with credit amount > $0,%,0-990,numeric,0,990
355,bcc7120,Maximum single balance to credit amount ratio on an open revolving bankcard trade reported in the last 6 months with credit amount > $0,%,0-990,numeric,0,990
356,bcc7130,Balance to credit amount ratio on an open revolving bankcard trade with the highest balance and credit amount > $0 reported in the last 6 months,%,0-990,numeric,0,990
357,bcc7147,Overall balance to credit limit ratio on open revolving bankcard trades opened in the last 12 months with credit limit > $0,%,0-990,numeric,0,990
358,bcc7216,Percentage of balance on open revolving trades reported in the last 6 months that are revolving bankcard trades (requires 2 or more qualified trades),%,0-990,numeric,0,990
359,bcc7437,Percentage of bankcard revolving trades that are never delinquent or derogatory occurred in the last 12 months ,%,0-100,numeric,0,100
360,bcc7460,Percentage of revolving bankcard trades that are ever 90 or more days delinquent or derogatory,%,0-100,numeric,0,100
